,002049,002180,002371,600171,600460,600584
2019-07-01 09:30:00,45.23,22.77,71.06,16.43,16.92,13.16
2019-07-01 09:45:00,45.41,22.79,72.28,16.35,17.0,13.29
2019-07-01 10:00:00,45.7,22.97,72.0,16.56,17.23,13.38
2019-07-01 10:15:00,45.69,22.96,71.48,16.45,17.09,13.4
2019-07-01 10:30:00,45.82,22.98,70.99,16.65,17.11,13.48
2019-07-01 10:45:00,45.84,22.99,71.6,16.73,17.17,13.61
2019-07-01 11:00:00,46.3,23.01,71.64,16.64,17.25,13.77
2019-07-01 11:15:00,46.07,22.99,71.05,16.55,17.23,13.66
2019-07-01 13:00:00,46.09,22.91,71.17,16.47,17.18,13.59
2019-07-01 13:15:00,45.97,22.83,71.1,16.54,17.14,13.56
2019-07-01 13:30:00,45.9,22.84,70.6,16.65,17.14,13.53
2019-07-01 13:45:00,46.0,22.85,70.59,17.28,17.29,13.55
2019-07-01 14:00:00,45.99,22.79,70.34,17.09,17.27,13.58
2019-07-01 14:15:00,45.81,22.81,70.1,17.09,17.24,13.54
2019-07-01 14:30:00,45.93,22.9,70.08,17.07,17.22,13.57
2019-07-02 09:30:00,45.79,22.76,69.2,16.81,17.4,13.57
2019-07-02 09:45:00,45.96,22.76,68.98,16.58,17.27,13.48
2019-07-02 10:00:00,45.7,22.84,68.59,16.67,17.18,13.39
2019-07-02 10:15:00,45.87,22.87,68.98,16.81,17.27,13.44
2019-07-02 10:30:00,45.85,22.88,69.44,16.69,17.2,13.4
2019-07-02 10:45:00,45.82,22.88,69.2,16.59,17.12,13.36
2019-07-02 11:00:00,45.7,22.88,68.9,16.56,17.07,13.33
2019-07-02 11:15:00,45.75,22.83,68.83,16.62,17.14,13.35
2019-07-02 13:00:00,45.26,22.69,68.65,16.46,17.05,13.28
2019-07-02 13:15:00,45.35,22.67,69.59,16.4,16.99,13.26
2019-07-02 13:30:00,45.34,22.7,69.6,16.48,17.07,13.28
2019-07-02 13:45:00,45.3,22.65,68.93,16.4,16.98,13.26
2019-07-02 14:00:00,45.45,22.73,69.04,16.56,17.07,13.3
2019-07-02 14:15:00,45.5,22.76,69.0,16.62,17.14,13.34
2019-07-02 14:30:00,45.52,22.72,68.87,16.55,17.1,13.33
2019-07-03 09:30:00,44.83,22.56,68.62,16.53,16.78,13.19
2019-07-03 09:45:00,44.5,22.34,67.54,16.62,16.69,13.0
2019-07-03 10:00:00,44.65,22.28,67.97,16.6,16.81,12.98
2019-07-03 10:15:00,44.45,22.2,67.5,16.4,16.76,12.93
2019-07-03 10:30:00,44.35,22.15,67.57,16.48,16.7,12.86
2019-07-03 10:45:00,44.3,22.16,67.38,16.45,16.71,12.87
2019-07-03 11:00:00,44.53,22.24,67.68,16.35,16.7,12.85
2019-07-03 11:15:00,44.49,22.17,67.98,16.34,16.71,12.83
2019-07-03 13:00:00,44.67,22.12,67.87,16.41,16.71,12.83
2019-07-03 13:15:00,44.53,22.08,67.73,16.31,16.66,12.8
2019-07-03 13:30:00,44.45,21.95,67.3,16.2,16.58,12.71
2019-07-03 13:45:00,44.42,22.0,67.35,16.2,16.63,12.72
2019-07-03 14:00:00,44.37,22.07,67.46,16.18,16.62,12.73
2019-07-03 14:15:00,44.28,22.0,67.21,16.25,16.6,12.7
2019-07-03 14:30:00,44.4,22.0,67.26,16.35,16.61,12.75
2019-07-04 09:30:00,44.59,22.15,67.9,16.34,16.76,12.78
2019-07-04 09:45:00,44.22,22.13,67.41,16.28,16.67,12.75
2019-07-04 10:00:00,44.31,22.06,67.17,16.23,16.63,12.67
2019-07-04 10:15:00,44.3,22.03,67.6,16.28,16.61,12.69
2019-07-04 10:30:00,44.14,21.93,67.05,16.1,16.44,12.57
2019-07-04 10:45:00,44.04,21.92,67.22,16.1,16.43,12.52
2019-07-04 11:00:00,44.15,21.82,67.24,16.11,16.42,12.51
2019-07-04 11:15:00,44.07,21.82,67.0,16.04,16.3,12.45
2019-07-04 13:00:00,43.96,21.88,66.9,16.22,16.31,12.51
2019-07-04 13:15:00,44.04,21.92,67.08,16.21,16.36,12.5
2019-07-04 13:30:00,44.1,21.88,67.0,16.31,16.41,12.47
2019-07-04 13:45:00,44.14,21.9,66.95,16.28,16.41,12.47
2019-07-04 14:00:00,44.01,21.93,66.78,16.24,16.33,12.43
2019-07-04 14:15:00,43.94,21.87,66.78,16.17,16.31,12.34
2019-07-04 14:30:00,43.96,21.89,67.02,16.28,16.33,12.4
2019-07-05 09:30:00,44.35,21.84,67.71,16.43,16.41,12.56
2019-07-05 09:45:00,44.28,21.86,68.0,16.46,16.46,12.58
2019-07-05 10:00:00,44.2,21.84,67.7,16.38,16.44,12.52
2019-07-05 10:15:00,44.3,21.85,67.6,16.41,16.49,12.59
2019-07-05 10:30:00,44.44,21.84,67.33,16.4,16.49,12.54
2019-07-05 10:45:00,44.27,21.82,67.12,16.32,16.43,12.46
2019-07-05 11:00:00,44.2,21.82,67.1,16.3,16.38,12.43
2019-07-05 11:15:00,44.31,21.82,67.1,16.34,16.43,12.42
2019-07-05 13:00:00,44.45,21.85,67.3,16.42,16.45,12.45
2019-07-05 13:15:00,44.44,21.85,67.25,16.42,16.44,12.46
2019-07-05 13:30:00,44.48,21.9,67.47,16.48,16.43,12.45
2019-07-05 13:45:00,44.5,21.9,68.0,16.49,16.44,12.44
2019-07-05 14:00:00,44.49,21.92,67.8,16.39,16.42,12.43
2019-07-05 14:15:00,44.67,22.09,67.98,16.49,16.44,12.47
2019-07-05 14:30:00,44.48,22.13,67.85,16.49,16.29,12.43
2019-07-08 09:30:00,44.8,22.25,67.9,15.8,15.99,12.2
2019-07-08 09:45:00,44.33,22.18,68.0,15.52,15.78,12.08
2019-07-08 10:00:00,44.39,22.1,68.15,15.66,15.84,12.11
2019-07-08 10:15:00,43.72,21.91,67.6,15.53,15.7,11.89
2019-07-08 10:30:00,43.25,21.9,66.7,15.45,15.71,11.91
2019-07-08 10:45:00,42.74,21.69,67.0,15.39,15.44,11.86
2019-07-08 11:00:00,42.99,21.89,67.41,15.54,15.48,11.89
2019-07-08 11:15:00,42.86,21.89,67.32,15.47,15.45,11.85
2019-07-08 13:00:00,42.59,21.9,67.1,15.41,15.41,11.75
2019-07-08 13:15:00,42.7,21.8,66.97,15.4,15.41,11.8
2019-07-08 13:30:00,42.46,21.84,66.7,15.33,15.36,11.74
2019-07-08 13:45:00,42.4,21.85,66.95,15.34,15.23,11.74
2019-07-08 14:00:00,42.4,21.83,66.91,15.42,15.32,11.78
2019-07-08 14:15:00,42.46,21.87,67.09,15.42,15.34,11.77
2019-07-08 14:30:00,42.48,21.88,67.58,15.45,15.33,11.78
2019-07-09 09:30:00,42.26,21.52,66.92,15.34,15.33,11.8
2019-07-09 09:45:00,42.37,21.48,66.6,15.41,15.32,11.84
2019-07-09 10:00:00,42.14,21.5,66.17,15.1,15.34,11.77
2019-07-09 10:15:00,42.25,21.5,66.1,15.12,15.29,11.68
2019-07-09 10:30:00,42.18,21.46,66.17,15.14,15.29,11.71
2019-07-09 10:45:00,42.12,21.22,66.1,15.14,15.21,11.69
2019-07-09 11:00:00,41.86,21.17,66.2,15.13,15.16,11.67
2019-07-09 11:15:00,41.8,21.2,66.37,15.24,15.2,11.69
2019-07-09 13:00:00,41.91,21.14,66.64,15.29,15.22,11.73
2019-07-09 13:15:00,41.92,20.91,66.76,15.24,15.21,11.71
2019-07-09 13:30:00,42.07,20.72,66.85,15.17,15.23,11.75
2019-07-09 13:45:00,42.29,20.89,66.99,15.33,15.32,11.86
2019-07-09 14:00:00,42.29,20.93,66.89,15.33,15.32,11.84
2019-07-09 14:15:00,42.4,21.09,67.04,15.39,15.39,11.86
2019-07-09 14:30:00,42.27,21.03,67.04,15.38,15.33,11.85
2019-07-10 09:30:00,42.59,21.03,68.23,15.39,15.45,11.87
2019-07-10 09:45:00,42.75,21.16,69.53,15.36,15.48,11.95
2019-07-10 10:00:00,42.75,21.11,69.77,15.4,15.46,11.91
2019-07-10 10:15:00,42.7,21.19,69.49,15.37,15.44,11.92
2019-07-10 10:30:00,42.66,21.4,69.2,15.39,15.48,11.91
2019-07-10 10:45:00,42.74,21.41,68.93,15.3,15.47,11.88
2019-07-10 11:00:00,42.58,21.36,68.78,15.22,15.43,11.87
2019-07-10 11:15:00,42.61,21.39,68.95,15.23,15.41,11.88
